id,first_name,last_name,country,number
659,T.,Ramaker,NED,
660,T.,Daleman,?,
661,Jan,Bruins,NED,
662,Oronzo,Memola,BEL,
663,Franz,Kroon,?,
664,Jose,Peon,CUB,
665,Ingo,Koeppe,GER,
666,W.,Roesch,GER,
667,G.,Weser,?,
668,Roland,Olsson,SWE,
669,Mikko,Hamunen,FIN,
670,Theo,Lowes,?,
671,Dennis,Gallagner,?,
672,C.,Geary,?,
673,R.,Simpson,?,
674,D.,Clancy,?,
675,E.,Holzeis,?,
676,Luigi,Anelli,ITA,
677,B.,Cretti,ITA,
678,M.,Cannizzaro,ITA,
679,Barry,Sheene,GBR,
680,Jose,Medrano,SPA,
681,Ulrich,Graf,SWI,
682,Benjamin,Grau,SPA,
683,F.,Van Der Hoeven,NED,
684,Gerhard,Schweikardt,GER,
685,Kaarlo,Koivuniemi,FIN,
686,Ulf,Nilsson,SWE,
687,Ivan,Carlsson,SWE,
688,Gordon,Pantall,GBR,
689,Roger,Sutcliffe,GBR,
690,Peter,Van Der Wal,NED,
691,Morgan,Radberg,SWE,
692,Tom,Herron,IRL,
693,Charlie,Sanby,GBR,
694,K.,Bertsch,GER,
695,Johnny,Bengtsson,SWE,
696,Donnie,Robinson,IRL,
697,Giuseppe,Mongardi,ITA,
698,Horst,Dzierzawa,GER,
699,Rob,Noorlander,NED,
700,Werner,Pfirter,SWI,
701,E.,Fagerer,?,
702,Guido,Mandracci,ITA,
703,Gert,Bender,GER,
704,J.,Pares March,?,
705,M.,Kugler,?,
706,Hans,Hummel,AUT,
707,Mike,Grant,GBR,
708,Bill,Henderson,GBR,
709,Peter,Courtney,GBR,
710,R.,Watts,GBR,
711,Fred,Smart,GBR,
712,Lindsay,Porter,GBR,
713,Bill,Rae,GBR,
714,Nico,Van Der Zanden,NED,
715,Steve,Machin,GBR,
716,T.,Kooyman,NED,
717,N.,Polane,?,
718,Hermann,Meyer,?,
719,Hansrudolf,Bruengger,SWI,
720,G.,Hilbig,?,
721,Lars,Johansson,SWE,
722,Zbynek,Havrda,TCH,
723,P.,Müller,?,
724,Lennart,Lindell,SWE,
725,Leif,Rosell,SWE,
726,L.,Persson,SWE,
727,Alberto,Ieva,ITA,
728,Peter,Jones,GBR,
729,L.,Habbiche,?,
730,Aldo,Pero,ITA,
731,Bruno,Kneubühler,SWI,
732,Kim,Newcombe,NZE,
733,Sergio,Baroncini,ITA,
734,Hideo,Kanaya,JPN,
735,Kevin,Cowley,GBR,
736,Andre,Pogolotti,FRA,
737,Karl,Huber,?,
738,Hans,Maxwald,AUT,
739,Paul,Cott,GBR,
740,Derek,Lee,GBR,
741,Getulio,Marcasini,ITA,
742,Carlo,Marelli,ITA,
743,Ken,Araoka,JPN,
744,Arpad,Juhos,HUN,
